	parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
0	kmTORC1Phos	log10	0.01	100.0		1
1	kmTORC2_Dis	log10	0.01	100.0		1
2	kmTORC2Dephos	log10	0.01	100.0		1
3	kAktByTor2Dephos	log10	0.01	100.0		1
4	kS6KDephos	log10	0.01	100.0		1
5	kPras40Phos	log10	0.01	100.0		1
6	kS6KPhos	log10	0.01	100.0		1
7	kmTORC1Dephos	log10	0.01	100.0		1
8	kTSC2PhosBoost	log10	0.01	100.0		1
9	kTSC2Dephos	log10	0.01	100.0		1
10	kRAS	log10	0.01	100.0		1
11	kmTOR_RIC_Comb	log10	0.01	100.0		1
12	kFourEBP1Dephos	log10	0.01	100.0		1
13	kIRS1Phos	log10	0.01	100.0		1
14	kPI3KPhos	log10	0.01	100.0		1
15	kPras40Dephos	log10	0.01	100.0		1
16	kmTORC1_Dis	log10	0.01	100.0		1
17	kTSC2Phos	log10	0.01	100.0		1
18	kmTORC1LysToCyt	log10	0.01	100.0		1
19	kmTORC1cytToLys	log10	0.01	100.0		1
20	kmTOR_RPT_Comb	log10	0.01	100.0		1
21	kIRS1Act	log10	0.01	100.0		1
22	InsulinB	log10	0.01	100.0		1
23	kAktByTor2Phos	log10	0.01	100.0		1
24	kFourEBP1Phos	log10	0.01	100.0		1
25	kmTORC2DephosByS6K	log10	0.01	100.0		1
26	kPI3KDephos	log10	0.01	100.0		1
27	kAktPhos_kcat	log10	0.01	100.0		1
28	AAB	log10	0.01	100.0		1
29	kIRS1Inact	log10	0.01	100.0		1
30	kAktDephos	log10	0.01	100.0		1
31	Akt_MCF7	log10	0.01	100.0		1
32	AktpS473_MCF7	log10	0.01	100.0		1
33	AktpT308_MCF7	log10	0.01	100.0		1
34	AktpT308S473_MCF7	log10	0.01	100.0		1
35	FourEBP1_MCF7	log10	0.01	100.0		1
36	FourEBP1pT37_46_MCF7	log10	0.01	100.0		1
37	IRS1_MCF7	log10	0.01	100.0		1
38	IRS1a_MCF7	log10	0.01	100.0		1
39	IRS1pS636_639_MCF7	log10	0.01	100.0		1
40	PI3K_MCF7	log10	0.01	100.0		1
41	PRAS40_MCF7	log10	0.01	100.0		1
42	PRAS40pT246_MCF7	log10	0.01	100.0		1
43	RICTOR_MCF7	log10	0.01	100.0		1
44	RPTOR_MCF7	log10	0.01	100.0		1
45	S6K_MCF7	log10	0.01	100.0		1
46	S6KpT389_MCF7	log10	0.01	100.0		1
47	TSC2_MCF7	log10	0.01	100.0		1
48	TSC2pT1462_MCF7	log10	0.01	100.0		1
49	mTOR_MCF7	log10	0.01	100.0		1
50	mTORC1cyt_MCF7	log10	0.01	100.0		1
51	mTORC1lys_MCF7	log10	0.01	100.0		1
52	mTORC2_MCF7	log10	0.01	100.0		1
53	pPI3K_MCF7	log10	0.01	100.0		1
54	pmTORC1_MCF7	log10	0.01	100.0		1
55	pmTORC2_MCF7	log10	0.01	100.0		1
56	Akt_ZR751	log10	0.01	100.0		1
57	AktpS473_ZR751	log10	0.01	100.0		1
58	AktpT308_ZR751	log10	0.01	100.0		1
59	AktpT308S473_ZR751	log10	0.01	100.0		1
60	FourEBP1_ZR751	log10	0.01	100.0		1
61	FourEBP1pT37_46_ZR751	log10	0.01	100.0		1
62	IRS1_ZR751	log10	0.01	100.0		1
63	IRS1a_ZR751	log10	0.01	100.0		1
64	IRS1pS636_639_ZR751	log10	0.01	100.0		1
65	PI3K_ZR751	log10	0.01	100.0		1
66	PRAS40_ZR751	log10	0.01	100.0		1
67	PRAS40pT246_ZR751	log10	0.01	100.0		1
68	RICTOR_ZR751	log10	0.01	100.0		1
69	RPTOR_ZR751	log10	0.01	100.0		1
70	S6K_ZR751	log10	0.01	100.0		1
71	S6KpT389_ZR751	log10	0.01	100.0		1
72	TSC2_ZR751	log10	0.01	100.0		1
73	TSC2pT1462_ZR751	log10	0.01	100.0		1
74	mTOR_ZR751	log10	0.01	100.0		1
75	mTORC1cyt_ZR751	log10	0.01	100.0		1
76	mTORC1lys_ZR751	log10	0.01	100.0		1
77	mTORC2_ZR751	log10	0.01	100.0		1
78	pPI3K_ZR751	log10	0.01	100.0		1
79	pmTORC1_ZR751	log10	0.01	100.0		1
80	pmTORC2_ZR751	log10	0.01	100.0		1
81	Akt_scale	log10	0.01	100.0		1
82	AktpT308_scale	log10	0.01	100.0		1
83	AktpS473_scale	log10	0.01	100.0		1
84	PRAS40_scale	log10	0.01	100.0		1
85	PRAS40pT246_scale	log10	0.01	100.0		1
86	S6K_scale	log10	0.01	100.0		1
87	S6KpT389_scale	log10	0.01	100.0		1
88	TSC2_scale	log10	0.01	100.0		1
89	TSC2pT1462_scale	log10	0.01	100.0		1
90	IRS1_scale	log10	0.01	100.0		1
91	IRS1pS636_639_scale	log10	0.01	100.0		1
92	FourEBP1_scale	log10	0.01	100.0		1
93	FourEBP1pT37_46_scale	log10	0.01	100.0		1
94	sd_Akt	log10	0.01	100.0		1
95	sd_AktpT308	log10	0.01	100.0		1
96	sd_AktpS473	log10	0.01	100.0		1
97	sd_PRAS40	log10	0.01	100.0		1
98	sd_PRAS40pT246	log10	0.01	100.0		1
99	sd_S6K	log10	0.01	100.0		1
100	sd_S6KpT389	log10	0.01	100.0		1
101	sd_TSC2	log10	0.01	100.0		1
102	sd_TSC2pT1462	log10	0.01	100.0		1
103	sd_IRS1	log10	0.01	100.0		1
104	sd_IRS1pS636_639	log10	0.01	100.0		1
105	sd_4E_BP1	log10	0.01	100.0		1
106	sd_4E_BP1pT37_46	log10	0.01	100.0		1
