	parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
0	kTSC2Dephos	log10	0.01	100.0		1
1	kTORPRAS	log10	0.01	100.0		1
2	kTSC2Phos	log10	0.01	100.0		1
3	kFourEBP1Dephos	log10	0.01	100.0		1
4	kFourEBP1PhosB	log10	0.01	100.0		1
5	kPras40Dephos	log10	0.01	100.0		1
6	kAktPhos_kcatB	log10	0.01	100.0		1
7	kTORTSC	log10	0.01	100.0		1
8	kS6KPhos	log10	0.01	100.0		1
9	kPras40Phos	log10	0.01	100.0		1
10	kIRS1Phos	log10	0.01	100.0		1
11	kS6KPhosB	log10	0.01	100.0		1
12	kS6KDephos	log10	0.01	100.0		1
13	kAktPhos_kcat	log10	0.01	100.0		1
14	kAktDephos	log10	0.01	100.0		1
15	kFourEBP1Phos	log10	0.01	100.0		1
16	kIRS1Inact	log10	0.01	100.0		1
17	Akt_MCF7	log10	0.01	100.0		1
18	AktpT308_MCF7	log10	0.01	100.0		1
19	FourEBP1_MCF7	log10	0.01	100.0		1
20	FourEBP1pT37_46_MCF7	log10	0.01	100.0		1
21	IRS1_MCF7	log10	0.01	100.0		1
22	IRS1pS636_639_MCF7	log10	0.01	100.0		1
23	PRAS40_MCF7	log10	0.01	100.0		1
24	PRAS40pT246_MCF7	log10	0.01	100.0		1
25	S6K_MCF7	log10	0.01	100.0		1
26	S6KpT389_MCF7	log10	0.01	100.0		1
27	TSC2_MCF7	log10	0.01	100.0		1
28	TSC2pT1462_MCF7	log10	0.01	100.0		1
29	Akt_ZR751	log10	0.01	100.0		1
30	AktpT308_ZR751	log10	0.01	100.0		1
31	FourEBP1_ZR751	log10	0.01	100.0		1
32	FourEBP1pT37_46_ZR751	log10	0.01	100.0		1
33	IRS1_ZR751	log10	0.01	100.0		1
34	IRS1pS636_639_ZR751	log10	0.01	100.0		1
35	PRAS40_ZR751	log10	0.01	100.0		1
36	PRAS40pT246_ZR751	log10	0.01	100.0		1
37	S6K_ZR751	log10	0.01	100.0		1
38	S6KpT389_ZR751	log10	0.01	100.0		1
39	TSC2_ZR751	log10	0.01	100.0		1
40	TSC2pT1462_ZR751	log10	0.01	100.0		1
41	Akt_scale	log10	0.01	100.0		1
42	AktpT308_scale	log10	0.01	100.0		1
43	PRAS40_scale	log10	0.01	100.0		1
44	PRAS40pT246_scale	log10	0.01	100.0		1
45	S6K_scale	log10	0.01	100.0		1
46	S6KpT389_scale	log10	0.01	100.0		1
47	TSC2_scale	log10	0.01	100.0		1
48	TSC2pT1462_scale	log10	0.01	100.0		1
49	IRS1_scale	log10	0.01	100.0		1
50	IRS1pS636_639_scale	log10	0.01	100.0		1
51	FourEBP1_scale	log10	0.01	100.0		1
52	FourEBP1pT37_46_scale	log10	0.01	100.0		1
53	sd_Akt	log10	0.01	100.0		1
54	sd_AktpT308	log10	0.01	100.0		1
55	sd_PRAS40	log10	0.01	100.0		1
56	sd_PRAS40pT246	log10	0.01	100.0		1
57	sd_S6K	log10	0.01	100.0		1
58	sd_S6KpT389	log10	0.01	100.0		1
59	sd_TSC2	log10	0.01	100.0		1
60	sd_TSC2pT1462	log10	0.01	100.0		1
61	sd_IRS1	log10	0.01	100.0		1
62	sd_IRS1pS636_639	log10	0.01	100.0		1
63	sd_4E_BP1	log10	0.01	100.0		1
64	sd_4E_BP1pT37_46	log10	0.01	100.0		1
