,RSS,AAB,InsulinB,PI3K_T_MCF7,PI3K_T_ZR751,RICTOR_T_MCF7,RICTOR_T_ZR751,RPTOR_T_MCF7,RPTOR_T_ZR751,kAktByTor2Dephos,kAktByTor2Phos,kAktDephos,kAktPhos_kcat,kFourEBP1Dephos,kFourEBP1Phos,kIRS1Act,kIRS1Inact,kIRS1Phos,kPI3KDephos,kPI3KPhos,kPras40Dephos,kPras40Phos,kRAS,kS6KDephos,kS6KPhos,kTSC2Dephos,kTSC2Phos,kTSC2PhosBoost,kmTORC1Dephos,kmTORC1LysToCyt,kmTORC1Phos,kmTORC1_Dis,kmTORC1cytToLys,kmTORC2Dephos,kmTORC2DephosByS6K,kmTORC2_Dis,kmTOR_RIC_Comb,kmTOR_RPT_Comb,mTOR_T_MCF7,mTOR_T_ZR751
0,1.99075,0.12584,0.0391355,53.1156,50.2848,36.9524,38.2571,78.1116,65.7639,75.2,76.0838,0.0227482,0.0184666,98.4192,34.2256,62.507,3.35635,100.0,30.3999,0.0145738,0.01,0.193406,98.4,100.0,12.2674,0.399445,0.0107757,100.0,100.0,72.19800000000002,12.9726,0.198223,100.0,0.0119567,100.0,1.34033,1.23229,100.0,33.6258,22.8635
1,2.00856,0.0115074,0.60595,73.7514,71.1335,41.3473,35.5498,22.1454,14.7335,0.772345,0.01,0.0198032,0.01,98.56,95.392,5.00068,23.8426,100.0,45.6539,0.01,0.01,0.434663,12.2948,25.8329,12.0371,0.0685872,0.059477,100.0,99.648,0.906049,6.78866,3.05925,94.656,100.0,0.010123899999999998,99.9808,74.3377,97.6322,100.0,78.7488
2,2.02618,0.050505,0.026360400000000003,28.249,26.0691,35.7375,27.3922,29.6511,15.1715,89.45,0.0141058,0.106169,0.010001799999999998,32.9507,15.1256,69.06,2.43412,65.24,14.5694,0.01,0.01,1.80329,100.0,94.0508,18.1059,99.9987,0.0107416,49.6548,22.1628,45.7831,67.0874,4.71776,99.9571,0.0100488,52.4667,0.582159,99.6229,0.0328942,53.0671,53.4837
3,2.0265299999999997,0.07212719999999999,0.0289295,28.4336,26.3263,16.4594,11.9138,59.7713,58.6324,63.7671,1.12531,0.01,0.013456000000000001,10.6581,2.6677400000000002,38.8466,1.54785,94.5216,77.4464,0.0120926,0.01,0.416958,24.2442,86.6141,5.40381,74.5436,3.86004,2.24548,56.9992,15.1578,34.1096,0.8012779999999999,44.5261,0.013799,48.038000000000004,0.0186254,85.3515,27.93,21.9472,15.7278
4,2.02684,0.0102496,0.0126569,15.5719,14.3508,11.6009,7.6596600000000015,76.5738,14.2741,99.6992,9.9172,0.01,0.616129,21.656,9.96743,7.931539999999999,0.131824,3.3972900000000004,98.0574,0.0100729,0.01,0.0346081,41.5132,80.1632,14.9055,100.0,61.4456,1.48658,99.968,1.70115,55.6751,2.08283,99.8784,0.0106947,20.3144,0.010089,6.39626,0.01,34.3402,98.1489
5,2.0270900000000003,0.05823250000000001,0.01,15.6114,14.4148,15.8577,10.3969,52.3666,22.9503,3.82351,0.314353,0.0318414,0.01,49.4847,11.9414,40.0852,0.516604,15.3212,1.59915,0.01,0.01,0.106922,99.1117,26.8633,2.3631900000000003,100.0,50.5393,1.45478,43.9972,15.3882,28.8804,11.1199,100.0,0.0101056,46.9139,0.01,58.9071,0.08614989999999999,65.3962,100.0
6,2.02711,0.01,0.0225138,78.5192,72.7463,15.4461,10.8143,8.87274,5.89996,96.1739,2.91496,0.0124706,0.010000299999999998,29.4992,31.5555,96.7354,2.89309,96.4522,100.0,0.0381917,0.0100006,0.139729,24.4309,66.6972,24.7566,100.0,0.113959,1.94027,99.0502,3.37169,27.9594,0.226773,99.9993,0.0100005,21.9985,0.0100364,30.1639,0.01,31.7425,27.499
7,2.02725,0.010068,0.01,69.1126,63.7735,11.886,7.77347,2.48085,1.7333599999999998,100.0,11.1063,0.0117854,0.14165899999999998,17.2525,60.6765,13.2205,0.170071,5.17199,99.9899,0.0100014,0.01,0.040547900000000005,100.0,8.874830000000003,11.0182,99.9981,52.2372,1.46302,10.7758,0.882726,1.32873,1.13322,64.3406,0.0100006,48.5584,0.01,0.583829,63.9751,79.5843,28.7023
8,2.02745,0.017697,0.01,3.29464,3.04063,22.7489,13.7289,83.2672,72.3715,47.5208,4.32594,0.01,0.0215582,18.226,8.627460000000001,96.9158,1.24855,31.5435,35.6946,0.0252711,0.01,0.620689,87.4274,22.2414,4.2487900000000005,95.8512,99.84,1.38094,80.3556,4.62561,29.9203,2.31129,100.0,0.01,44.4736,0.01,98.2996,72.5977,29.8994,18.7637
9,2.02754,0.053146000000000006,0.01,40.7546,37.6277,37.0623,25.4931,4.96301,3.32424,95.4636,2.4947,0.019358,0.0155243,7.646619999999999,22.3657,24.7155,0.317364,7.2800699999999985,47.18,0.01,0.01,0.477623,82.5838,14.9469,18.1613,99.9238,100.0,1.52896,99.9956,15.4853,9.61601,0.0101334,67.3107,0.06617819999999999,25.4865,0.0110838,39.5604,42.1679,90.4,40.2318
10,2.0276400000000003,0.0128966,0.0100002,100.0,92.4026,19.2037,14.4676,22.1114,11.5186,1.50692,0.0300898,0.01,0.0100002,11.6436,12.4383,10.4083,0.133368,3.25027,99.9903,0.0667053,0.01,0.0490205,44.4809,16.5054,6.9599199999999986,53.8756,20.4163,1.95143,97.7675,0.010357600000000002,6.55651,4.15789,99.9919,0.0178361,9.31449,0.103628,99.4801,99.8156,35.6015,26.7602
11,2.0282,0.0240824,0.0627123,5.66259,5.23083,13.4844,8.34641,4.95947,3.50782,76.5793,0.5095069999999999,0.0543275,0.0990232,22.8179,86.6302,60.6651,5.50515,100.0,28.3584,0.01,0.01,0.8934489999999999,28.4876,4.5391,7.72695,100.0,99.9666,5.89041,68.0859,1.10244,5.2742,0.709559,19.3626,0.01,49.4737,0.01,10.6416,34.2099,35.0471,11.9102
