,RSS,kAktDephos,kAktPhos_kcat,kAktPhos_kcatB,kFourEBP1Dephos,kFourEBP1Phos,kFourEBP1PhosB,kIRS1Inact,kIRS1Phos,kPras40Dephos,kPras40Phos,kS6KDephos,kS6KPhos,kS6KPhosB,kTORPRAS,kTORTSC,kTSC2Dephos,kTSC2Phos
0,2.23322,5.861269999999998,61.2503,1.07872,5.88491,42.4487,1.1126,5.2357,92.9402,100.0,0.01,24.8963,44.3997,0.8507469999999999,10.2715,0.64987,6.4787300000000005,3.92156
1,2.23322,3.43712,35.9181,0.632574,9.30391,98.0016,1.38592,0.939554,64.0071,99.9987,0.01,67.8687,57.5501,0.58941,21.5182,3.68898,22.6543,13.7125
2,2.23322,2.937,30.6911,0.540528,7.28736,64.7735,1.3067,1.06967,23.04,100.0,0.01,20.2901,38.6031,0.56799,13.8421,1.36997,4.43965,2.6873400000000003
3,2.23322,6.544969999999998,68.3958,1.20453,14.0415,44.9691,2.53793,0.497059,10.374,100.0,0.01,59.8156,42.0084,1.72961,4.58524,0.01,1.6299,0.986563
4,2.23322,0.5585720000000001,5.83708,0.102801,22.8496,72.9238,4.12607,4.76971,100.0,100.0,0.01,99.9777,69.7038,2.87753,4.57437,0.01,93.3278,56.4908
5,2.23322,8.8814,92.8107,1.63455,8.63791,59.3081,1.81952,2.91988,37.4691,100.0,0.01,14.3354,30.4686,0.6866260000000001,8.22092,0.01,21.8137,13.2038
6,2.23322,5.70357,59.6031,1.0497,4.84314,40.5619,1.00995,7.52401,99.2121,100.0,0.01,8.17939,20.8285,0.380775,10.3104,0.231963,23.7393,14.3692
7,2.23322,3.60925,37.7166,0.664253,5.95945,99.1437,1.21073,6.96635,98.8036,100.0,0.01,15.6537,75.4046,0.675293,21.874,1.49489,52.3162,31.6669
8,2.23322,9.53008,99.5895,1.75394,6.66138,85.5901,1.44964,6.732360000000001,79.4108,100.0,0.01,14.3009,60.0582,0.748352,15.0539,0.351919,45.1114,27.3059
9,2.23322,2.54841,26.6326,0.469019,11.8369,75.5284,2.4657400000000003,7.562239999999999,100.0,100.0,0.01,4.13806,8.01347,0.192067,7.74086,0.010000299999999998,7.2564899999999986,4.39213
10,2.23322,8.15657,85.2361,1.50115,20.0566,77.1423,3.79161,3.0695,54.4926,100.0,0.01,100.0,95.0957,3.4168199999999995,5.22727,0.01,34.5781,20.9301
11,2.23322,0.6727420000000001,7.03023,0.123813,30.3531,98.2157,5.500780000000002,0.8544879999999999,17.6687,100.0,0.01,31.5862,22.5627,0.922139,4.6185800000000015,0.01,7.26343,4.39649
12,2.23322,4.44303,46.4297,0.817703,9.74414,45.5251,1.92056,6.22005,96.5176,100.0,0.01,26.0933,33.1779,1.02507,6.0479699999999985,0.01,38.4285,23.261
13,2.23322,9.41937,98.4335,1.7335599999999998,14.0846,49.615,2.60771,5.23643,99.9999,100.0,0.01,100.0,82.5447,3.16872,4.90487,0.01,81.1348,49.1107
14,2.23322,5.36511,56.0654,0.987404,25.1722,100.0,4.793819999999998,5.77411,100.0,100.0,0.01,100.0,100.0,3.50549,5.35303,0.01,22.9292,13.879
15,2.23322,1.39677,14.5961,0.257064,2.12494,91.0206,0.316535,0.149814,10.1926,100.0,0.01,22.964,79.2954,0.1997,89.1489,17.2128,20.7139,12.5384
