,RSS,adjKey,adjVal,kAktDephos,kAktPhos_kcat,kAktPhos_kcatB,kFourEBP1Dephos,kFourEBP1Phos,kFourEBP1PhosB,kIRS1Inact,kIRS1Phos,kPras40Dephos,kPras40Phos,kS6KDephos,kS6KPhos,kS6KPhosB,kTORPRAS,kTORTSC,kTSC2Dephos,kTSC2Phos
0,2.23322,kTSC2Phos,0.132,0.497292,5.19349,0.0914926,22.8636,72.9191,4.12665,4.79749,99.8234,100.0,0.01,99.5483,70.025,2.88703,4.57496,0.01,12.3127,7.456785600000001
1,2.23322,kTSC2Phos,0.132,0.497292,5.19349,0.0914926,22.8636,72.9191,4.12665,4.79749,99.8234,100.0,0.01,99.5483,70.025,2.88703,4.57496,0.01,12.3127,7.456785600000001
2,2.23322,kTSC2Phos,0.132,0.497292,5.19349,0.0914926,22.8636,72.9191,4.12665,4.79749,99.8234,100.0,0.01,99.5483,70.025,2.88703,4.57496,0.01,12.3127,7.456785600000001
3,2.23322,kTSC2Phos,0.132,0.497292,5.19349,0.0914926,22.8636,72.9191,4.12665,4.79749,99.8234,100.0,0.01,99.5483,70.025,2.88703,4.57496,0.01,12.3127,7.456785600000001
4,2.23322,kTSC2Phos,0.132,0.497292,5.19349,0.0914926,22.8636,72.9191,4.12665,4.79749,99.8234,100.0,0.01,99.5483,70.025,2.88703,4.57496,0.01,12.3127,7.456785600000001
5,2.23322,kTSC2Phos,0.132,0.497292,5.19349,0.0914926,22.8636,72.9191,4.12665,4.79749,99.8234,100.0,0.01,99.5483,70.025,2.88703,4.57496,0.01,12.3127,7.456785600000001
6,2.23322,kTSC2Phos,0.132,0.497292,5.19349,0.0914926,22.8636,72.9191,4.12665,4.79749,99.8234,100.0,0.01,99.5483,70.025,2.88703,4.57496,0.01,12.3127,7.456785600000001
7,2.23322,kTSC2Phos,0.132,0.497292,5.19349,0.0914926,22.8636,72.9191,4.12665,4.79749,99.8234,100.0,0.01,99.5483,70.025,2.88703,4.57496,0.01,12.3127,7.456785600000001
8,2.23322,kTSC2Phos,0.132,0.497292,5.19349,0.0914926,22.8636,72.9191,4.12665,4.79749,99.8234,100.0,0.01,99.5483,70.025,2.88703,4.57496,0.01,12.3127,7.456785600000001
9,2.23322,kTSC2Phos,0.132,0.497292,5.19349,0.0914926,22.8636,72.9191,4.12665,4.79749,99.8234,100.0,0.01,99.5483,70.025,2.88703,4.57496,0.01,12.3127,7.456785600000001
10,2.23322,kTSC2Phos,0.198,0.5713699999999999,5.97082,0.105158,22.6732,74.5097,4.1262300000000005,4.6821,95.7414,100.0,0.01,97.0561,70.8628,2.86633,4.66717,0.0100192,18.478,11.1851784
11,2.23322,kTSC2Phos,0.198,0.5713699999999999,5.97082,0.105158,22.6732,74.5097,4.1262300000000005,4.6821,95.7414,100.0,0.01,97.0561,70.8628,2.86633,4.66717,0.0100192,18.478,11.1851784
12,2.23322,kTSC2Phos,0.198,0.5713699999999999,5.97082,0.105158,22.6732,74.5097,4.1262300000000005,4.6821,95.7414,100.0,0.01,97.0561,70.8628,2.86633,4.66717,0.0100192,18.478,11.1851784
13,2.23322,kTSC2Phos,0.198,0.5713699999999999,5.97082,0.105158,22.6732,74.5097,4.1262300000000005,4.6821,95.7414,100.0,0.01,97.0561,70.8628,2.86633,4.66717,0.0100192,18.478,11.1851784
14,2.23322,kTSC2Phos,0.198,0.5713699999999999,5.97082,0.105158,22.6732,74.5097,4.1262300000000005,4.6821,95.7414,100.0,0.01,97.0561,70.8628,2.86633,4.66717,0.0100192,18.478,11.1851784
15,2.23322,kTSC2Phos,0.198,0.5713699999999999,5.97082,0.105158,22.6732,74.5097,4.1262300000000005,4.6821,95.7414,100.0,0.01,97.0561,70.8628,2.86633,4.66717,0.0100192,18.478,11.1851784
16,2.23322,kTSC2Phos,0.198,0.5713699999999999,5.97082,0.105158,22.6732,74.5097,4.1262300000000005,4.6821,95.7414,100.0,0.01,97.0561,70.8628,2.86633,4.66717,0.0100192,18.478,11.1851784
17,2.23322,kTSC2Phos,0.198,0.5713699999999999,5.97082,0.105158,22.6732,74.5097,4.1262300000000005,4.6821,95.7414,100.0,0.01,97.0561,70.8628,2.86633,4.66717,0.0100192,18.478,11.1851784
18,2.23322,kTSC2Phos,0.198,0.5713699999999999,5.97082,0.105158,22.6732,74.5097,4.1262300000000005,4.6821,95.7414,100.0,0.01,97.0561,70.8628,2.86633,4.66717,0.0100192,18.478,11.1851784
19,2.23322,kTSC2Phos,0.198,0.5713699999999999,5.97082,0.105158,22.6732,74.5097,4.1262300000000005,4.6821,95.7414,100.0,0.01,97.0561,70.8628,2.86633,4.66717,0.0100192,18.478,11.1851784
20,2.23322,kTSC2Phos,0.296,0.559945,5.85165,0.103054,22.8549,72.9611,4.1264400000000006,4.768669999999998,100.0,100.0,0.01,100.0,69.7368,2.87753,4.57695,0.0104293,27.625,16.7212768
21,2.23322,kTSC2Phos,0.296,0.559945,5.85165,0.103054,22.8549,72.9611,4.1264400000000006,4.768669999999998,100.0,100.0,0.01,100.0,69.7368,2.87753,4.57695,0.0104293,27.625,16.7212768
22,2.23322,kTSC2Phos,0.296,0.559945,5.85165,0.103054,22.8549,72.9611,4.1264400000000006,4.768669999999998,100.0,100.0,0.01,100.0,69.7368,2.87753,4.57695,0.0104293,27.625,16.7212768
23,2.23322,kTSC2Phos,0.296,0.559945,5.85165,0.103054,22.8549,72.9611,4.1264400000000006,4.768669999999998,100.0,100.0,0.01,100.0,69.7368,2.87753,4.57695,0.0104293,27.625,16.7212768
24,2.23322,kTSC2Phos,0.296,0.559945,5.85165,0.103054,22.8549,72.9611,4.1264400000000006,4.768669999999998,100.0,100.0,0.01,100.0,69.7368,2.87753,4.57695,0.0104293,27.625,16.7212768
25,2.23322,kTSC2Phos,0.296,0.559945,5.85165,0.103054,22.8549,72.9611,4.1264400000000006,4.768669999999998,100.0,100.0,0.01,100.0,69.7368,2.87753,4.57695,0.0104293,27.625,16.7212768
26,2.23322,kTSC2Phos,0.296,0.559945,5.85165,0.103054,22.8549,72.9611,4.1264400000000006,4.768669999999998,100.0,100.0,0.01,100.0,69.7368,2.87753,4.57695,0.0104293,27.625,16.7212768
27,2.23322,kTSC2Phos,0.296,0.559945,5.85165,0.103054,22.8549,72.9611,4.1264400000000006,4.768669999999998,100.0,100.0,0.01,100.0,69.7368,2.87753,4.57695,0.0104293,27.625,16.7212768
28,2.23322,kTSC2Phos,0.296,0.559945,5.85165,0.103054,22.8549,72.9611,4.1264400000000006,4.768669999999998,100.0,100.0,0.01,100.0,69.7368,2.87753,4.57695,0.0104293,27.625,16.7212768
29,2.23322,kTSC2Phos,0.296,0.559945,5.85165,0.103054,22.8549,72.9611,4.1264400000000006,4.768669999999998,100.0,100.0,0.01,100.0,69.7368,2.87753,4.57695,0.0104293,27.625,16.7212768
30,2.23322,kTSC2Phos,0.444,0.558658,5.83857,0.102825,22.8519,72.9257,4.12607,4.7687300000000015,99.9974,100.0,0.01,99.991,69.7083,2.87753,4.57484,0.0100831,41.4358,25.0819152
